"script","success","message","started_at","ended_at"
"scripts/Table_1.r","True","OK","2026-03-07 13:56:12","2026-03-07 13:56:43"
"scripts/Table_II.r","True","OK","2026-03-07 13:56:43","2026-03-07 13:56:47"
"scripts/Table_III_A.r","True","OK","2026-03-07 13:56:47","2026-03-07 13:56:51"
"scripts/Table_IV_PanelAB.r","True","OK","2026-03-07 13:56:51","2026-03-07 13:56:55"
