"outcome","placebo_coef","se","p_value","N","R2_within","service","stars","coef_txt","se_txt"
"real_pc_maint_dep_health_log",-0.0727286080937132,0.0538265849954018,0.177975904379846,920,0.0952871530551016,"Health","","-0.073","(0.054)"
"real_pc_maint_dep_rec_log",-0.0128679032844467,0.0370741198716646,0.728854133875564,885,0.0782602479031913,"Rec","","-0.013","(0.037)"
"real_pc_maint_dep_total_log",-0.00495740463541679,0.0183139720511139,0.786873472768377,920,0.259764765405579,"Total","","-0.005","(0.018)"
"real_pc_maint_dep_charity_log",-0.00304194459386414,0.0371994174850531,0.934919364800555,697,0.119377472973449,"Charity","","-0.003","(0.037)"
"real_pc_maint_dep_pp_log",-0.00115320998787375,0.0119693909207125,0.923329573710699,920,0.240911220492499,"Pp","","-0.001","(0.012)"
"real_pc_maint_dep_road_log",0.00571684225194879,0.0124841675032609,0.647471410037488,856,0.0989199696343277,"Road","","0.006","(0.012)"
"real_pc_maint_dep_gen_log",0.0164100141305155,0.0127552225748777,0.199556220112996,920,0.204375170030288,"Gen","","0.016","(0.013)"
"real_pc_maint_dep_school_log",0.0486588524100578,0.0272226701527378,0.0753658348735989,800,0.0855761890158246,"School","*","0.049*","(0.027)"
"real_pc_maint_dep_other_log",0.0773694960895675,0.0742589430350251,0.298602058239356,857,0.0492084214227997,"Other","","0.077","(0.074)"
