"","Debt/Rev (FE-OLS)"
"moodyleverage x 1924-1926","0.01"
"","(0.02)"
"moodyleverage x 1929-1933","-0.02***"
"","(0.01)"
"moodyleverage x 1934-1938","-0.04**"
"","(0.02)"
"moodyleverage x 1941-1943","-0.07***"
"","(0.02)"
"City FE","Y"
"Year FE","Y"
"1930 Pop x Year","Y"
"1920-30 Pop x Year","Y"
"Revenue","Y"
"Region x Year","Y"
"R-sq (within)","0.65"
"N","3829"
"Mean(y)","4.07"
"SD(y)","0.61"
